TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 142.0, 'x': 80.0, 'tmp': 1.0}
{'z': 142.0, 'x': 80.0, 'tmp': 1.0}
{'z': 142.0, 'x': 81.0, 'tmp': 1.0}
{'z': 142.0, 'x': 81.0, 'tmp': 0.0}
{'z': 142.0, 'x': 80.0, 'tmp': 0.0}
{'z': 141.0, 'x': 80.0, 'tmp': 0.0}
{'z': 141.0, 'x': 80.0, 'tmp': 0.0}
{'z': 141.0, 'x': 79.0, 'tmp': 0.0}
{'z': 140.0, 'x': 79.0, 'tmp': 0.0}
{'z': 140.0, 'x': 79.0, 'tmp': 1.0}
{'z': 140.0, 'x': 80.0, 'tmp': 1.0}
{'z': 140.0, 'x': 80.0, 'tmp': 1.0}
{'z': 140.0, 'x': 81.0, 'tmp': 1.0}
{'z': 140.0, 'x': 81.0, 'tmp': 0.0}
{'z': 140.0, 'x': 80.0, 'tmp': 0.0}
{'z': 139.0, 'x': 80.0, 'tmp': 0.0}
{'z': 139.0, 'x': 80.0, 'tmp': 1.0}
{'z': 139.0, 'x': 81.0, 'tmp': 1.0}
{'z': 139.0, 'x': 81.0, 'tmp': 1.0}
{'z': 139.0, 'x': 82.0, 'tmp': 1.0}
{'z': 139.0, 'x': 82.0, 'tmp': 0.0}
{'z': 139.0, 'x': 81.0, 'tmp': 0.0}
{'z': 138.0, 'x': 81.0, 'tmp': 0.0}
{'z': 138.0, 'x': 81.0, 'tmp': 0.0}
{'z': 138.0, 'x': 80.0, 'tmp': 0.0}
{'z': 137.0, 'x': 80.0, 'tmp': 0.0}
{'z': 137.0, 'x': 80.0, 'tmp': 1.0}
{'z': 137.0, 'x': 81.0, 'tmp': 1.0}
{'z': 137.0, 'x': 81.0, 'tmp': 0.0}
{'z': 137.0, 'x': 80.0, 'tmp': 0.0}
{'z': 136.0, 'x': 80.0, 'tmp': 0.0}
{'z': 136.0, 'x': 80.0, 'tmp': 1.0}
{'z': 136.0, 'x': 81.0, 'tmp': 1.0}
{'z': 136.0, 'x': 81.0, 'tmp': 0.0}
{'z': 136.0, 'x': 80.0, 'tmp': 0.0}
{'z': 135.0, 'x': 80.0, 'tmp': 0.0}
{'z': 135.0, 'x': 80.0, 'tmp': 0.0}
{'z': 135.0, 'x': 79.0, 'tmp': 0.0}
{'z': 134.0, 'x': 79.0, 'tmp': 0.0}
{'z': 134.0, 'x': 79.0, 'tmp': 0.0}
{'z': 134.0, 'x': 78.0, 'tmp': 0.0}
{'z': 133.0, 'x': 78.0, 'tmp': 0.0}
{'z': 133.0, 'x': 78.0, 'tmp': 0.0}
{'z': 133.0, 'x': 77.0, 'tmp': 0.0}
{'z': 132.0, 'x': 77.0, 'tmp': 0.0}
{'z': 132.0, 'x': 77.0, 'tmp': 0.0}
{'z': 132.0, 'x': 76.0, 'tmp': 0.0}
{'z': 131.0, 'x': 76.0, 'tmp': 0.0}
{'z': 131.0, 'x': 76.0, 'tmp': 0.0}
{'z': 131.0, 'x': 75.0, 'tmp': 0.0}
{'z': 130.0, 'x': 75.0, 'tmp': 0.0}
{'z': 130.0, 'x': 75.0, 'tmp': 0.0}
{'z': 130.0, 'x': 74.0, 'tmp': 0.0}
{'z': 129.0, 'x': 74.0, 'tmp': 0.0}
{'z': 129.0, 'x': 74.0, 'tmp': 0.0}
{'z': 129.0, 'x': 73.0, 'tmp': 0.0}
