TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 880.0, 'E1': 813.0, 'E0': 870.0}
{'S': 880.0, 'E1': 822.0, 'E0': 870.0}
{'S': 880.0, 'E1': 822.0, 'E0': 880.0}
{'S': 839.0, 'E1': 822.0, 'E0': 880.0}
{'S': 839.0, 'E1': 0.0, 'E0': 880.0}
{'S': 839.0, 'E1': 0.0, 'E0': 839.0}
{'S': 343.0, 'E1': 0.0, 'E0': 839.0}
{'S': 343.0, 'E1': -496.0, 'E0': 839.0}
{'S': 343.0, 'E1': -496.0, 'E0': 343.0}
{'S': 945.0, 'E1': -496.0, 'E0': 343.0}
{'S': 945.0, 'E1': 0.0, 'E0': 343.0}
{'S': 945.0, 'E1': 0.0, 'E0': 945.0}
{'S': 300.0, 'E1': 0.0, 'E0': 945.0}
{'S': 300.0, 'E1': -645.0, 'E0': 945.0}
{'S': 300.0, 'E1': -645.0, 'E0': 300.0}
{'S': 159.0, 'E1': -645.0, 'E0': 300.0}
{'S': 159.0, 'E1': 0.0, 'E0': 300.0}
{'S': 159.0, 'E1': 0.0, 'E0': 159.0}
{'S': 724.0, 'E1': 0.0, 'E0': 159.0}
{'S': 724.0, 'E1': 565.0, 'E0': 159.0}
{'S': 724.0, 'E1': 565.0, 'E0': 724.0}
{'S': 746.0, 'E1': 565.0, 'E0': 724.0}
{'S': 746.0, 'E1': 0.0, 'E0': 724.0}
{'S': 746.0, 'E1': 0.0, 'E0': 746.0}
{'S': 617.0, 'E1': 0.0, 'E0': 746.0}
{'S': 617.0, 'E1': 0.0, 'E0': 746.0}
{'S': 617.0, 'E1': 0.0, 'E0': 617.0}
{'S': 765.0, 'E1': 0.0, 'E0': 617.0}
{'S': 765.0, 'E1': 0.0, 'E0': 617.0}
{'S': 765.0, 'E1': 0.0, 'E0': 765.0}
{'S': 263.0, 'E1': 0.0, 'E0': 765.0}
{'S': 263.0, 'E1': 0.0, 'E0': 765.0}
{'S': 263.0, 'E1': 0.0, 'E0': 263.0}
{'S': 237.0, 'E1': 0.0, 'E0': 263.0}
{'S': 237.0, 'E1': -26.0, 'E0': 263.0}
{'S': 237.0, 'E1': -26.0, 'E0': 237.0}
{'S': 916.0, 'E1': -26.0, 'E0': 237.0}
{'S': 916.0, 'E1': 653.0, 'E0': 237.0}
{'S': 916.0, 'E1': 653.0, 'E0': 916.0}
{'S': 364.0, 'E1': 653.0, 'E0': 916.0}
{'S': 364.0, 'E1': 0.0, 'E0': 916.0}
{'S': 364.0, 'E1': 0.0, 'E0': 364.0}
{'S': 954.0, 'E1': 0.0, 'E0': 364.0}
{'S': 954.0, 'E1': 0.0, 'E0': 364.0}
{'S': 954.0, 'E1': 0.0, 'E0': 954.0}
{'S': 139.0, 'E1': 0.0, 'E0': 954.0}
{'S': 139.0, 'E1': -815.0, 'E0': 954.0}
{'S': 139.0, 'E1': -815.0, 'E0': 139.0}
{'S': 371.0, 'E1': -815.0, 'E0': 139.0}
{'S': 371.0, 'E1': -582.0, 'E0': 139.0}
{'S': 371.0, 'E1': -582.0, 'E0': 371.0}
{'S': 713.0, 'E1': -582.0, 'E0': 371.0}
{'S': 713.0, 'E1': -239.0, 'E0': 371.0}
{'S': 713.0, 'E1': -239.0, 'E0': 713.0}
{'S': 740.0, 'E1': -239.0, 'E0': 713.0}
{'S': 740.0, 'E1': 0.0, 'E0': 713.0}
{'S': 740.0, 'E1': 0.0, 'E0': 740.0}
{'S': 891.0, 'E1': 0.0, 'E0': 740.0}
{'S': 891.0, 'E1': 151.0, 'E0': 740.0}
{'S': 891.0, 'E1': 151.0, 'E0': 891.0}
{'S': 773.0, 'E1': 151.0, 'E0': 891.0}
{'S': 773.0, 'E1': 32.0, 'E0': 891.0}
{'S': 773.0, 'E1': 32.0, 'E0': 773.0}
{'S': 973.0, 'E1': 32.0, 'E0': 773.0}
{'S': 973.0, 'E1': 0.0, 'E0': 773.0}
{'S': 973.0, 'E1': 0.0, 'E0': 973.0}
{'S': 158.0, 'E1': 0.0, 'E0': 973.0}
{'S': 158.0, 'E1': 0.0, 'E0': 973.0}
{'S': 158.0, 'E1': 0.0, 'E0': 158.0}
{'S': 804.0, 'E1': 0.0, 'E0': 158.0}
{'S': 804.0, 'E1': 0.0, 'E0': 158.0}
{'S': 804.0, 'E1': 0.0, 'E0': 804.0}
{'S': 447.0, 'E1': 0.0, 'E0': 804.0}
{'S': 447.0, 'E1': -357.0, 'E0': 804.0}
{'S': 447.0, 'E1': -357.0, 'E0': 447.0}
{'S': 928.0, 'E1': -357.0, 'E0': 447.0}
{'S': 928.0, 'E1': 124.0, 'E0': 447.0}
{'S': 928.0, 'E1': 124.0, 'E0': 928.0}
{'S': 377.0, 'E1': 124.0, 'E0': 928.0}
{'S': 377.0, 'E1': 0.0, 'E0': 928.0}
{'S': 377.0, 'E1': 0.0, 'E0': 377.0}
{'S': 380.0, 'E1': 0.0, 'E0': 377.0}
{'S': 380.0, 'E1': 0.0, 'E0': 377.0}
{'S': 380.0, 'E1': 0.0, 'E0': 380.0}
{'S': 456.0, 'E1': 0.0, 'E0': 380.0}
{'S': 456.0, 'E1': 76.0, 'E0': 380.0}
{'S': 456.0, 'E1': 76.0, 'E0': 456.0}
{'S': 224.0, 'E1': 76.0, 'E0': 456.0}
{'S': 224.0, 'E1': -156.0, 'E0': 456.0}
{'S': 224.0, 'E1': -156.0, 'E0': 224.0}
{'S': 683.0, 'E1': -156.0, 'E0': 224.0}
{'S': 683.0, 'E1': 0.0, 'E0': 224.0}
{'S': 683.0, 'E1': 0.0, 'E0': 683.0}
{'S': 597.0, 'E1': 0.0, 'E0': 683.0}
{'S': 597.0, 'E1': 0.0, 'E0': 683.0}
{'S': 597.0, 'E1': 0.0, 'E0': 597.0}
{'S': 45.0, 'E1': 0.0, 'E0': 597.0}
{'S': 45.0, 'E1': -552.0, 'E0': 597.0}
{'S': 45.0, 'E1': -552.0, 'E0': 45.0}
{'S': 473.0, 'E1': -552.0, 'E0': 45.0}
{'S': 473.0, 'E1': 0.0, 'E0': 45.0}
{'S': 473.0, 'E1': 0.0, 'E0': 473.0}
{'S': 321.0, 'E1': 0.0, 'E0': 473.0}
{'S': 321.0, 'E1': 0.0, 'E0': 473.0}
{'S': 321.0, 'E1': 0.0, 'E0': 321.0}
{'S': 530.0, 'E1': 0.0, 'E0': 321.0}
{'S': 530.0, 'E1': 209.0, 'E0': 321.0}
{'S': 530.0, 'E1': 209.0, 'E0': 530.0}
{'S': 119.0, 'E1': 209.0, 'E0': 530.0}
{'S': 119.0, 'E1': 0.0, 'E0': 530.0}
{'S': 119.0, 'E1': 0.0, 'E0': 119.0}
{'S': 944.0, 'E1': 0.0, 'E0': 119.0}
{'S': 944.0, 'E1': 825.0, 'E0': 119.0}
{'S': 944.0, 'E1': 825.0, 'E0': 944.0}
{'S': 927.0, 'E1': 825.0, 'E0': 944.0}
{'S': 927.0, 'E1': 807.0, 'E0': 944.0}
{'S': 927.0, 'E1': 807.0, 'E0': 927.0}
{'S': 109.0, 'E1': 807.0, 'E0': 927.0}
